means,mins
3965.7,2541.0
3929.82,2058.0
3890.75,2058.0
3865.77,2058.0
3790.38,2058.0
3692.03,2058.0
3616.16,2058.0
3506.77,2058.0
3376.97,1981.0
3329.96,1981.0
3164.75,1872.0
3055.03,1656.0
2942.89,1656.0
2846.04,1656.0
2723.84,1656.0
2617.5,1656.0
2511.63,1656.0
2482.46,1656.0
2440.19,1656.0
2330.28,1656.0
2234.02,1656.0
2175.05,1656.0
2067.25,1656.0
2001.96,1656.0
1955.71,1656.0
1918.03,1656.0
1849.78,1656.0
1822.16,1656.0
1806.49,1656.0
1796.84,1656.0
1788.3,1656.0
1777.1,1656.0
1755.46,1656.0
1753.31,1656.0
1737.73,1656.0
1737.73,1656.0
1734.5,1656.0
1728.61,1656.0
1726.7,1656.0
1726.7,1656.0
1725.24,1656.0
1723.88,1656.0
1723.41,1656.0
1723.21,1656.0
1723.21,1656.0
1701.31,1584.0
1701.3,1584.0
1699.67,1584.0
1699.67,1584.0
1699.47,1584.0
