means,mins
3974.25,3974.25
3944.5,3944.5
3929.79,3929.79
3903.88,3903.88
3859.72,3859.72
3799.62,3799.62
3772.98,3772.98
3736.02,3736.02
3636.16,3636.16
3547.05,3547.05
3455.41,3455.41
3333.52,3333.52
3263.06,3263.06
3230.02,3230.02
3160.56,3160.56
3096.47,3096.47
3028.92,3028.92
2961.22,2961.22
2902.64,2902.64
2881.92,2881.92
2850.65,2850.65
2773.68,2773.68
2741.25,2741.25
2696.91,2696.91
2653.33,2653.33
2624.15,2624.15
2616.65,2616.65
2585.13,2585.13
2562.16,2562.16
2557.39,2557.39
2527.31,2527.31
2488.0,2488.0
2423.44,2423.44
2376.55,2376.55
2315.67,2315.67
2269.77,2269.77
2151.99,2151.99
2083.03,2083.03
2004.91,2004.91
1948.6,1948.6
1872.77,1872.77
1820.27,1820.27
1780.0,1780.0
1763.71,1763.71
1763.56,1763.56
1763.08,1763.08
1761.94,1761.94
1760.79,1760.79
1760.79,1760.79
1760.79,1760.79
