means,mins
3977.97,3977.97
3966.2,3966.2
3904.15,3904.15
3844.8,3844.8
3806.69,3806.69
3727.42,3727.42
3653.39,3653.39
3526.53,3526.53
3428.69,3428.69
3259.97,3259.97
3187.2,3187.2
3111.97,3111.97
3081.82,3081.82
3017.34,3017.34
2980.95,2980.95
2926.47,2926.47
2851.85,2851.85
2824.1,2824.1
2794.75,2794.75
2774.81,2774.81
2731.61,2731.61
2689.87,2689.87
2659.29,2659.29
2616.97,2616.97
2598.19,2598.19
2543.75,2543.75
2516.76,2516.76
2508.89,2508.89
2504.11,2504.11
2477.11,2477.11
2444.47,2444.47
2426.66,2426.66
2397.57,2397.57
2338.43,2338.43
2291.05,2291.05
2236.41,2236.41
2175.33,2175.33
2123.03,2123.03
2036.83,2036.83
1972.09,1972.09
1923.37,1923.37
1860.84,1860.84
1822.68,1822.68
1798.1,1798.1
1760.28,1760.28
1743.29,1743.29
1728.22,1728.22
1711.78,1711.78
1698.83,1698.83
1687.29,1687.29
