means,mins
3859.89,3859.89
3687.93,3687.93
3497.14,3497.14
3325.56,3325.56
3160.66,3160.66
2949.83,2949.83
2738.34,2738.34
2577.99,2577.99
2486.11,2486.11
2426.92,2426.92
2336.5,2336.5
2287.48,2287.48
2267.48,2267.48
2211.74,2211.74
2186.9,2186.9
2141.24,2141.24
2116.39,2116.39
2087.6,2087.6
2055.61,2055.61
2035.94,2035.94
2031.61,2031.61
2009.42,2009.42
1988.84,1988.84
1975.72,1975.72
1964.65,1964.65
1942.16,1942.16
1919.96,1919.96
1903.2,1903.2
1893.28,1893.28
1881.4,1881.4
1877.07,1877.07
1862.19,1862.19
1854.9,1854.9
1848.57,1848.57
1825.68,1825.68
1804.32,1804.32
1795.36,1795.36
1763.96,1763.96
1729.37,1729.37
1696.4,1696.4
1655.68,1655.68
1591.69,1591.69
1483.99,1483.99
1338.79,1338.79
1281.53,1281.53
1271.94,1271.94
1259.21,1259.21
1250.19,1250.19
1249.28,1249.28
1241.6,1241.6
